name,category,gender,color,style,occasion,fit,season,recommended_skin_tones,recommended_body_types,temperature,material,tags,image_url
Navy Knit Sweater 15,Top,Unisex,Navy,Smart Casual,"University, Casual Outing, Date",Relaxed Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Wool,"Navy, smart casual, solid, versatile, minimal",images/top/navy_knit_sweater.jpg
Forest Green Denim Jacket 16,Outerwear,Unisex,Forest Green,Casual,"Party, University, Date",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Denim,"Forest Green, casual, solid, minimal",images/outerwear/forest_green_denim_jacket.jpg
Navy Knit Sweater 17,Top,Unisex,Navy,Preppy,"Office, University, Travel",Regular Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Wool,"Navy, preppy, solid, minimal",images/top/navy_knit_sweater.jpg
Red Polo Shirt 18,Top,Unisex,Red,Smart Casual,"Travel, Party, Date",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Hot,Pique,"Red, smart casual, solid, versatile, minimal",images/top/red_polo_shirt.jpg
Khaki Knit Sweater 19,Top,Unisex,Khaki,Preppy,"Date, Travel",Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Khaki, preppy, solid, minimal",images/top/khaki_knit_sweater.jpg
Light Blue Polo Shirt 20,Top,Unisex,Light Blue,Smart Casual,Travel,Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Pique,"Light Blue, smart casual, solid, versatile, minimal",images/top/light_blue_polo_shirt.jpg
Grey Loafers 21,Shoes,Unisex,Grey,Business Casual,"Presentation, Office",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Grey, business casual, solid, professional, minimal",images/shoes/grey_loafers.jpg
Black Polo Shirt 22,Top,Unisex,Black,Smart Casual,Date,Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Black, smart casual, striped, versatile",images/top/black_polo_shirt.jpg
Beige Polo Shirt 23,Top,Unisex,Beige,Casual,"Party, Travel",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Pique,"Beige, casual, striped",images/top/beige_polo_shirt.jpg
Grey Oxford Shoes 24,Shoes,Unisex,Grey,Formal,Interview,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Grey, formal, solid, professional, minimal",images/shoes/grey_oxford_shoes.jpg
Khaki Blazer 25,Outerwear,Unisex,Khaki,Smart Casual,"Interview, Business Meeting, Presentation",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Cool,Wool,"Khaki, smart casual, solid, versatile, minimal",images/outerwear/khaki_blazer.jpg
Brown Dress Shirt 26,Top,Unisex,Brown,Formal,"Office, Business Meeting, Presentation",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Brown, formal, solid, professional, minimal",images/top/brown_dress_shirt.jpg
Grey Shorts 27,Bottom,Unisex,Grey,Casual,"Casual Outing, Beach, Travel",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Grey, casual, striped",images/bottom/grey_shorts.jpg
Cream Sandals 28,Shoes,Unisex,Cream,Casual,"Beach, Travel",Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"Cream, casual, solid, minimal",images/shoes/cream_sandals.jpg
Burgundy Sandals 29,Shoes,Unisex,Burgundy,Casual,Casual Outing,Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Burgundy, casual, solid, minimal",images/shoes/burgundy_sandals.jpg
Grey Sandals 30,Shoes,Unisex,Grey,Casual,"Travel, Casual Outing, Beach",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Grey, casual, solid, minimal",images/shoes/grey_sandals.jpg
Forest Green Oxford Shirt 31,Top,Unisex,Forest Green,Smart Casual,"Business Meeting, Presentation",Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Any,Cotton,"Forest Green, smart casual, check, versatile",images/top/forest_green_oxford_shirt.jpg
Forest Green Sandals 32,Shoes,Unisex,Forest Green,Casual,"Casual Outing, Beach, Travel",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Forest Green, casual, solid, minimal",images/shoes/forest_green_sandals.jpg
White Linen Shirt 33,Top,Unisex,White,Smart Casual,"Beach, Casual Outing, Date",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"White, smart casual, solid, versatile, minimal",images/top/white_linen_shirt.jpg
Grey Sneakers 34,Shoes,Unisex,Grey,Casual,"Travel, Date, Party",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Grey, casual, solid, minimal",images/shoes/grey_sneakers.jpg
Olive Knit Sweater 35,Top,Unisex,Olive,Smart Casual,Date,Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"Olive, smart casual, solid, versatile, minimal",images/top/olive_knit_sweater.jpg
Burgundy Cargo Pants 36,Bottom,Unisex,Burgundy,Casual,"University, Casual Outing",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Burgundy, casual, solid, minimal",images/bottom/burgundy_cargo_pants.jpg
Mustard Cargo Pants 37,Bottom,Unisex,Mustard,Streetwear,University,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Mustard, streetwear, solid, urban, minimal",images/bottom/mustard_cargo_pants.jpg
Forest Green Denim Jacket 38,Outerwear,Unisex,Forest Green,Streetwear,"University, Party",Relaxed Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Denim,"Forest Green, streetwear, solid, urban, minimal",images/outerwear/forest_green_denim_jacket.jpg
Cream T-Shirt 39,Top,Unisex,Cream,Streetwear,Travel,Relaxed Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Cream, streetwear, striped, urban",images/top/cream_t-shirt.jpg
Burgundy Boots 40,Shoes,Unisex,Burgundy,Streetwear,"Casual Outing, Party, Date",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Burgundy, streetwear, solid, urban, minimal",images/shoes/burgundy_boots.jpg
Beige Shorts 41,Bottom,Unisex,Beige,Casual,"Casual Outing, Travel",Relaxed Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Beige, casual, solid, minimal",images/bottom/beige_shorts.jpg
Lavender Loafers 42,Shoes,Unisex,Lavender,Business Casual,"Party, Presentation, Date",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Lavender, business casual, solid, professional, minimal",images/shoes/lavender_loafers.jpg
Brown Oxford Shirt 43,Top,Unisex,Brown,Preppy,Business Meeting,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Brown, preppy, solid, minimal",images/top/brown_oxford_shirt.jpg
Navy Oxford Shoes 44,Shoes,Unisex,Navy,Business Casual,Business Meeting,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Navy, business casual, solid, professional, minimal",images/shoes/navy_oxford_shoes.jpg
Black Bomber Jacket 45,Outerwear,Unisex,Black,Casual,"Casual Outing, University, Date",Oversized,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Mild,Nylon,"Black, casual, solid, minimal",images/outerwear/black_bomber_jacket.jpg
Lavender Linen Shirt 46,Top,Unisex,Lavender,Smart Casual,"Casual Outing, Travel",Relaxed Fit,Spring/Summer,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Lavender, smart casual, striped, versatile",images/top/lavender_linen_shirt.jpg
Olive Bomber Jacket 47,Outerwear,Unisex,Olive,Streetwear,Travel,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Cotton,"Olive, streetwear, solid, urban, minimal",images/outerwear/olive_bomber_jacket.jpg
Red Dress Trousers 48,Bottom,Unisex,Red,Formal,"Business Meeting, Interview, Wedding",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Mild,Wool,"Red, formal, solid, professional, minimal",images/bottom/red_dress_trousers.jpg
Red Sneakers 49,Shoes,Unisex,Red,Minimalist,"Party, University",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Canvas,"Red, minimalist, solid, minimal",images/shoes/red_sneakers.jpg
Mustard Blazer 50,Outerwear,Unisex,Mustard,Business Casual,"Date, Wedding, Business Meeting",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Mild,Cotton,"Mustard, business casual, check, professional",images/outerwear/mustard_blazer.jpg
Brown Oxford Shoes 51,Shoes,Unisex,Brown,Business Casual,"Presentation, Business Meeting, Wedding",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"Brown, business casual, solid, professional, minimal",images/shoes/brown_oxford_shoes.jpg
Black Linen Shirt 52,Top,Unisex,Black,Smart Casual,Beach,Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Black, smart casual, striped, versatile",images/top/black_linen_shirt.jpg
Mustard Jeans 53,Bottom,Unisex,Mustard,Smart Casual,"Date, Travel",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Any,Denim,"Mustard, smart casual, solid, versatile, minimal",images/bottom/mustard_jeans.jpg
Khaki Oxford Shirt 54,Top,Unisex,Khaki,Business Casual,Interview,Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Any,Cotton,"Khaki, business casual, check, professional",images/top/khaki_oxford_shirt.jpg
Cream Knit Sweater 55,Top,Unisex,Cream,Smart Casual,"University, Date, Casual Outing",Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Cream, smart casual, solid, versatile, minimal",images/top/cream_knit_sweater.jpg
Pink Jeans 56,Bottom,Unisex,Pink,Casual,"University, Travel, Date",Straight Fit,All Season,"Fair, Medium","Slim, Average, Broad, Plus Size",Any,Denim,"Pink, casual, solid, minimal",images/bottom/pink_jeans.jpg
Mustard Shorts 57,Bottom,Unisex,Mustard,Casual,"Beach, Travel, Casual Outing",Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Mustard, casual, solid, minimal",images/bottom/mustard_shorts.jpg
Navy Cargo Pants 58,Bottom,Unisex,Navy,Streetwear,"Party, Travel",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Navy, streetwear, solid, urban, minimal",images/bottom/navy_cargo_pants.jpg
Forest Green Linen Shirt 59,Top,Unisex,Forest Green,Casual,"Travel, Beach",Relaxed Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Forest Green, casual, striped",images/top/forest_green_linen_shirt.jpg
Lavender Jeans 60,Bottom,Unisex,Lavender,Casual,"Casual Outing, Date",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"Lavender, casual, solid, minimal",images/bottom/lavender_jeans.jpg
Pink Hoodie 61,Top,Unisex,Pink,Streetwear,Casual Outing,Oversized,All Season,"Fair, Medium","Slim, Average, Broad, Plus Size",Cool,Fleece,"Pink, streetwear, solid, urban, minimal",images/top/pink_hoodie.jpg
Khaki Sneakers 62,Shoes,Unisex,Khaki,Minimalist,Travel,Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Canvas,"Khaki, minimalist, solid, minimal",images/shoes/khaki_sneakers.jpg
Mustard Knit Sweater 63,Top,Unisex,Mustard,Minimalist,"Travel, Casual Outing",Regular Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"Mustard, minimalist, solid, minimal",images/top/mustard_knit_sweater.jpg
Lavender Cargo Pants 64,Bottom,Unisex,Lavender,Streetwear,"University, Travel",Relaxed Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Lavender, streetwear, solid, urban, minimal",images/bottom/lavender_cargo_pants.jpg
Beige Sandals 65,Shoes,Unisex,Beige,Casual,Travel,Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"Beige, casual, solid, minimal",images/shoes/beige_sandals.jpg
Pink Knit Sweater 66,Top,Unisex,Pink,Smart Casual,Travel,Relaxed Fit,Autumn/Winter,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Pink, smart casual, solid, versatile, minimal",images/top/pink_knit_sweater.jpg
Grey Chinos 67,Bottom,Unisex,Grey,Preppy,"Date, Presentation",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Grey, preppy, solid, minimal",images/bottom/grey_chinos.jpg
White Henley 68,Top,Unisex,White,Smart Casual,Casual Outing,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Cotton,"White, smart casual, solid, versatile, minimal",images/top/white_henley.jpg
Grey Linen Shirt 69,Top,Unisex,Grey,Smart Casual,"Date, Party, Travel",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Grey, smart casual, solid, versatile, minimal",images/top/grey_linen_shirt.jpg
Forest Green Chinos 70,Bottom,Unisex,Forest Green,Smart Casual,"Casual Outing, Office",Straight Fit,All Season,"Fair, Medium, Deep","Slim, Average, Broad, Plus Size",Any,Cotton,"Forest Green, smart casual, solid, versatile, minimal",images/bottom/forest_green_chinos.jpg
Brown Henley 71,Top,Unisex,Brown,Casual,"Date, University, Casual Outing",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Mild,Cotton,"Brown, casual, solid, minimal",images/top/brown_henley.jpg
Burgundy Knit Sweater 72,Top,Unisex,Burgundy,Minimalist,"Travel, University, Date",Relaxed Fit,Autumn/Winter,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Cool,Cotton,"Burgundy, minimalist, solid, minimal",images/top/burgundy_knit_sweater.jpg
Brown Dress Shirt 73,Top,Unisex,Brown,Formal,"Wedding, Office",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Brown, formal, solid, professional, minimal",images/top/brown_dress_shirt.jpg
Light Blue Loafers 74,Shoes,Unisex,Light Blue,Business Casual,Presentation,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Light Blue, business casual, solid, professional, minimal",images/shoes/light_blue_loafers.jpg
Forest Green Polo Shirt 75,Top,Unisex,Forest Green,Preppy,"Travel, Party, Office",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Pique,"Forest Green, preppy, solid, minimal",images/top/forest_green_polo_shirt.jpg
White Jeans 76,Bottom,Unisex,White,Casual,"Date, University, Casual Outing",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"White, casual, solid, minimal",images/bottom/white_jeans.jpg
Forest Green Cargo Pants 77,Bottom,Unisex,Forest Green,Streetwear,"Party, Casual Outing, Travel",Relaxed Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Forest Green, streetwear, solid, urban, minimal",images/bottom/forest_green_cargo_pants.jpg
White Sandals 78,Shoes,Unisex,White,Casual,"Casual Outing, Beach",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"White, casual, solid, minimal",images/shoes/white_sandals.jpg
Lavender Sandals 79,Shoes,Unisex,Lavender,Casual,Beach,Regular Fit,Spring/Summer,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Lavender, casual, solid, minimal",images/shoes/lavender_sandals.jpg
Grey Jeans 80,Bottom,Unisex,Grey,Smart Casual,"Casual Outing, Travel, Date",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"Grey, smart casual, solid, versatile, minimal",images/bottom/grey_jeans.jpg
Forest Green T-Shirt 81,Top,Unisex,Forest Green,Casual,Party,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Forest Green, casual, striped",images/top/forest_green_t-shirt.jpg
Olive Chinos 82,Bottom,Unisex,Olive,Smart Casual,"Business Meeting, University",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Olive, smart casual, solid, versatile, minimal",images/bottom/olive_chinos.jpg
Grey Boots 83,Shoes,Unisex,Grey,Casual,University,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Grey, casual, solid, minimal",images/shoes/grey_boots.jpg
Khaki Chinos 84,Bottom,Unisex,Khaki,Business Casual,"Presentation, Business Meeting",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Khaki, business casual, solid, professional, minimal",images/bottom/khaki_chinos.jpg
Mustard Knit Sweater 85,Top,Unisex,Mustard,Smart Casual,"University, Date",Relaxed Fit,Autumn/Winter,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Mustard, smart casual, solid, versatile, minimal",images/top/mustard_knit_sweater.jpg
Grey Polo Shirt 86,Top,Unisex,Grey,Preppy,Party,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Cotton,"Grey, preppy, striped",images/top/grey_polo_shirt.jpg
Forest Green Linen Shirt 87,Top,Unisex,Forest Green,Casual,"Beach, Casual Outing, Date",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Forest Green, casual, striped",images/top/forest_green_linen_shirt.jpg
Mustard Sandals 88,Shoes,Unisex,Mustard,Casual,Casual Outing,Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Mustard, casual, solid, minimal",images/shoes/mustard_sandals.jpg
Forest Green Oxford Shirt 89,Top,Unisex,Forest Green,Business Casual,Office,Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Forest Green, business casual, solid, professional, minimal",images/top/forest_green_oxford_shirt.jpg
Burgundy Polo Shirt 90,Top,Unisex,Burgundy,Casual,"Party, University, Travel",Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Pique,"Burgundy, casual, striped",images/top/burgundy_polo_shirt.jpg
Navy Henley 91,Top,Unisex,Navy,Smart Casual,"Travel, University, Date",Slim Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic",Warm,Cotton,"Navy, smart casual, solid, versatile, minimal",images/top/navy_henley.jpg
Lavender T-Shirt 92,Top,Unisex,Lavender,Streetwear,"Travel, Party, Date",Oversized,Spring/Summer,"Fair, Medium","Slim, Average, Broad, Plus Size",Warm,Cotton,"Lavender, streetwear, graphic, urban",images/top/lavender_t-shirt.jpg
Lavender Jeans 93,Bottom,Unisex,Lavender,Smart Casual,"Party, Travel",Slim Fit,All Season,"Fair, Medium","Slim, Average, Athletic",Any,Denim,"Lavender, smart casual, solid, versatile, minimal",images/bottom/lavender_jeans.jpg
Burgundy Blazer 94,Outerwear,Unisex,Burgundy,Smart Casual,"Date, Interview, Presentation",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Burgundy, smart casual, solid, versatile, minimal",images/outerwear/burgundy_blazer.jpg
Brown Chinos 95,Bottom,Unisex,Brown,Preppy,"Office, Casual Outing, Presentation",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Brown, preppy, solid, minimal",images/bottom/brown_chinos.jpg
White Loafers 96,Shoes,Unisex,White,Preppy,"Wedding, Business Meeting, Presentation",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Leather,"White, preppy, solid, minimal",images/shoes/white_loafers.jpg
Pink Linen Shirt 97,Top,Unisex,Pink,Smart Casual,Date,Regular Fit,Spring/Summer,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Warm,Linen,"Pink, smart casual, striped, versatile",images/top/pink_linen_shirt.jpg
Grey Oxford Shirt 98,Top,Unisex,Grey,Business Casual,"Date, Interview",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Warm,Cotton,"Grey, business casual, solid, professional, minimal",images/top/grey_oxford_shirt.jpg
Pink Loafers 99,Shoes,Unisex,Pink,Preppy,"Office, Presentation",Regular Fit,All Season,"Fair, Medium","Slim, Average, Athletic, Broad, Plus Size",Any,Suede,"Pink, preppy, solid, minimal",images/shoes/pink_loafers.jpg
Red Sandals 100,Shoes,Unisex,Red,Casual,Beach,Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Rubber,"Red, casual, solid, minimal",images/shoes/red_sandals.jpg
Burgundy Polo Shirt 101,Top,Unisex,Burgundy,Casual,"Date, Casual Outing",Slim Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic",Any,Cotton,"Burgundy, casual, solid, minimal",images/top/burgundy_polo_shirt.jpg
Forest Green Sandals 102,Shoes,Unisex,Forest Green,Casual,Casual Outing,Regular Fit,Spring/Summer,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Leather,"Forest Green, casual, solid, minimal",images/shoes/forest_green_sandals.jpg
Cream Cargo Pants 103,Bottom,Unisex,Cream,Streetwear,"Travel, University, Casual Outing",Relaxed Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Cream, streetwear, solid, urban, minimal",images/bottom/cream_cargo_pants.jpg
Cream Jeans 104,Bottom,Unisex,Cream,Casual,"Casual Outing, Party",Regular Fit,All Season,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Denim,"Cream, casual, solid, minimal",images/bottom/cream_jeans.jpg
Cream Blazer 105,Outerwear,Unisex,Cream,Formal,"Interview, Office, Business Meeting",Slim Fit,All Season,"Medium, Deep","Slim, Average, Athletic",Mild,Wool,"Cream, formal, solid, professional, minimal",images/outerwear/cream_blazer.jpg
Olive Linen Shirt 106,Top,Unisex,Olive,Casual,Party,Regular Fit,Spring/Summer,"Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Hot,Linen,"Olive, casual, striped",images/top/olive_linen_shirt.jpg
Black Dress Trousers 107,Bottom,Unisex,Black,Formal,"Interview, Presentation, Business Meeting",Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Mild,Wool,"Black, formal, solid, professional, minimal",images/bottom/black_dress_trousers.jpg
Light Blue Cargo Pants 108,Bottom,Unisex,Light Blue,Streetwear,Party,Regular Fit,All Season,"Fair, Medium, Deep","Slim, Average, Athletic, Broad, Plus Size",Any,Cotton,"Light Blue, streetwear, solid, urban, minimal",images/bottom/light_blue_cargo_pants.jpg
